end_year,intensity,sector,topic,insight
2018,12,Information Technology,artificial intelligence,What's next for Health IT - Trends for 2018
2020,16,null,pharmaceutical,The 8 Healthcare Trends that will impact your sales in 2018
2024,20,Pharmaceuticals,drug,Market share of top 20 companies for orphan drugs worldwide 2017 and 2024
2019,16,Information Technology,data,New NASA mission to detect plant water use from space
2020,12,null,organization,Cylance® Extends AI-Driven Security to Hybrid Environments and Private Networks With CylanceHYBRID and CylanceON-PREM
2022,12,Information Technology,internet of things,Digital twins help to reshape manufacturing
2025,16,Healthcare,diabetes,Facts & Figures
2018,12,Information Technology,internet of things,Digital twins help to reshape manufacturing
2020,12,null,consumption,"Cement strategy must ensure balance of supply, demand"
2021,12,null,null,VMware: Decades of hybrid cloud ahead
2026,16,Information Technology,computing,HPE to Invest $4 Billion for Advancement of Edge Computing
2018,6,null,null,"Oil & Gas Stock Roundup: Devon's Asset Sale, Exxon's Brazil Win & More"
2020,30,Automotive,autonomous car,Driverless cars: Let technology take the wheel
2020,60,Healthcare,health,What's next for Health IT - Trends for 2018
2026,9,Healthcare,disease,"Global Blood Typing, Grouping and Infectious Disease Screening Market 2016-2018 & 2026"
2025,72,Energy,power,"Power Management Integrated Circuit (PMIC) Market 2018 Global Trend, Segmentation And Opportunities Forecast To 2023"
2025,60,null,null,Biodiesel Info
2038,60,Energy,gas,Economic Benefits
2020,12,Manufacturing,automation,AASHTO Journal
2019,16,null,null,Amazon Prime Australia
2050,16,Energy,emission,"EU charting wrong course on LNG in shipping, study warns"
2025,72,Media & entertainment,camera,CCTV camera market shows robust growth
2023,12,Information Technology,electronics,Growing Importance of Flexible Electronics & Circuit Market 2018-2023
2022,16,null,coalition,Japan
2048,12,Energy,electricity,ADD TITLE (ENDS WITH FORUM ON PAGE)
2018,16,null,competition,"Top Stock Reports for Chevron, Glaxo & T-Mobile"
2025,60,null,null,CCTV camera market shows robust growth
2023,12,null,null,"Amazon Extends Ties With Sears, Bolsters Retail Presence"
2021,16,Energy,electricity,ADD TITLE (ENDS WITH FORUM ON PAGE)
2048,8,Energy,gas,Economic Benefits
2050,12,Environment,sea,Biodiversity in Cyprus in numbers
2025,72,Information Technology,3D,"3D Printing Medical/Healthcare Market 2018- Global Industry Anal - WTVM.com-Columbus, GA News Weather & Sports"
2029,12,Energy,policy,New EU biofuel rules not enough to help people or the planet
2038,9,Energy,fossil fuel,Sempra Unit to Up Energy Storage Project Via 83.5 MW Capacity
2020,56,Government,data,Trump Signs Bill to Authorize NOAA Purchase of Commercial Satellite Weather Data
